# Category catalogue for luci-app-traffic - generated by tools/build-catalog.js
# Do not edit by hand: re-run the generator to refresh it.
Adult	9hentaiz.com
Adult	9k6v4y.cyou
Media	9tv.co.il
Adult	9xav.cc
Entertainment	9xgame.com
Adult	9xlove.xyz
Adult	9zipai.net
Finance	a-bank.jp
Adult	a-hentai.tv
Adult	a-teenz.com
Ads	a.adtng.com
IPTV	a.jsrdn.com
Tracker	a.leopard-raws.org
IPTV	a.live.hnradio.com
IPTV	a.xttv.top
Tracker	a0.app.xiaomi.com
Adult	a1av.xyz
Adult	aa77kk.com
IPTV	aaaaa.pejian.com
Adult	aaapp.cyou
Adult	aabb1802.com
Adult	aabb1803.com
Education	aacrjournals.org
Adult	aadmv.com
VPN	aaex.uk
Adult	aalah.me
Software	aardio.com
Crypto	aave.com
Adult	aavs.xyz
Ads	aaxads.com
Finance	abanbroker.com
Finance	abank.com.mm
Finance	abantether.com
Ads	abbyychina.com
Finance	abc-ca.com
IPTV	abc-iview-mediapackagestreams-2.akamaized.net
Adult	abclider.com
IPTV	abclive2-lh.akamaihd.net
IPTV	abcnews-streams.akamaized.net
Adult	abgsp1.buzz
Adult	abigass.com
IPTV	ablive.abatv.com.cn
Finance	ablmm.com
Tracker	aboutbeautifulgallopinghorsesinthegreenpasture.online
IPTV	abp-i.akamaihd.net
IPTV	abpasmita-lh.akamaihd.net
Finance	abr.ru
Website	abrarnews.com
Website	abrha.net
IPTV	abscbn-ono.akamaized.net
Finance	absolutbank.ru
Geo	abstractapi.com
Website	ac.ir
Education	ac.uk
Tracker	academic-p2p.appspot.com
Education	academic.eb.com
Education	acaric.co.jp
Certificate	accv.es
Adult	acgww.cyou
Crypto	acinq.co
Adult	acjj.net
Education	aclweb.org
Education	acm.org
Education	acs.org
Media	activatica.org
IPTV	acv.asianetmobiletvplus.com
Education	acwing.com
IPTV	ad-hls-rentv.cdnvideo.ru
IPTV	ad-hls-tvc.cdnvideo.ru
Ads	ad-srv.net
Ads	ad.12306.cn
Ads	ad.hpplay.cn
Ads	ad.wang502.com
Adult	ad69.com
DNS	ada.openbld.net
Education	adacpp.com
Adult	adbkm.com
DNS	adblock.dns.mullvad.net
Ads	adbutter.net
Ads	adc.hpplay.cn
Ads	adcolony.com
Geo	addr.tools
Ads	adeng.hpplay.cn
Ads	adivery.com
Ads	adivery.ir
Government	adliran.ir
Torrent	admin.52ywp.com
Media	admin5.com
Adult	adporn.cc
Adult	adpornu.xyz
Ads	ads.huan.tv
Ads	ads.huantest.com
Ads	ads.trafficjunky.net
Media	ads1.lfengmobile.com
Ads	adservice.sigmob.cn
Ads	adtechus.com
Ads	adtrue.com
IPTV	adtv.ercdn.net
Adult	adult-h.com
Adult	adultbay.org
Adult	adulters.org
Adult	adulti01.com
Adult	adultism.com
Adult	adulto.vip
Ads	advapi.joyplus.tv
Ads	advapikj.joyplus.tv
Software	adventofcode.com
Ads	adxprtz.com
Government	adygeya.ru
Website	adygtelecom.com
Adult	aebn.com
Tracker	aegir.sexy
Crypto	aex.com
Adult	afkv28.com
Adult	aflamsex.net
Media	afp.pplive.com
Website	afranet.com
Adult	afriboyz.com
IPTV	africatv.live.net.sa
Website	aftabeyazd.ir
Website	aftabnews.ir
IPTV	aftonbladetlive-lh.akamaihd.net
Adult	agag.tw
Media Server	agahk.odysseyplus.site
Media Server	agasg.odysseyplus.site
Finance	agdbank.com
AI	agentclientprotocol.com
Media	agents.media
Finance	agri-bank.com
Government	agrieng.org
IPTV	agsj.appcoo.com
Education	agu.org
Adult	agzy1.com
Adult	ah-me.com
Media	ahcaijing.com
Media	ahcjw.com
IPTV	ahhs.chinashadt.com
IPTV	ahhsdb.chinashadt.com
Adult	ahlxsdh.sbs
Proxy	ahmia.fi
Adult	ahtops.com
Adult	ahtranny.com
Media	ahwang.cn
Adult	ahxxx.club
Media	ai.azure.com
Media	ai.xiaomi.com
AI	ai.zhaomi.cn
Adult	ai7995.site
Adult	ai91porn.cc
Education	aiaa.org
Crypto	aicoin.com
Torrent	aidoru-online.me
AI	aiesa.ru
Adult	aimei133.com
Crypto	aimoon.com
Education	aimsciences.org
Education	aip.org
Adult	aipa553.com
IPTV	air.tvk6.ru
Adult	airav.cc
Adult	airav.wiki
Education	airiti.com
Education	airitilibrary.cn
Education	airitilibrary.com
Entertainment	aisee.tv
AI	aispeech.com
Adult	aixingge2.cc
Education	aiyunxiao.com
Adult	aizyk.buzz
Adult	aizyk.xyz
Adult	ajsjx.com
Finance	ajzq.com
IPTV	aka-amd-njpwworld-hls-enlive.akamaized.net
IPTV	akaal.zecast.net
IPTV	akaku.vod.castus.tv
IPTV	akalmultimedia.net
Games	akamai.cdn.steampipe.steamcontent.com
Proxy	akasha.world
Finance	akbars.ru
Entertainment	akiba-souken.com
Finance	akita-bank.co.jp
IPTV	akritastv1.flashmediacast.com
Games	akspeedy.com
Adult	akthelp.com
Website	akyllytilsimat.com
IPTV	al.hls.huya.com
Adult	albagals.com
IPTV	albmusic.dyndns.tv
Finance	alborzinsurance.ir
IPTV	albportal.net
IPTV	albuk.dyndns.tv
IPTV	aldirect.hls.huya.com
Website	alef.ir
Finance	alefbank.com
IPTV	alex-stream.rosebud-media.de
Education	alexanderstreet.com
Finance	alfa.me
Finance	alfabank.ru
Finance	alfabank.st
Finance	alfadirect.ru
Website	alfarhatbarakaty.com
Adult	alhs.link
Adult	alhs.xyz
Website	alibaba.ir
AI	alice.yandex.net
AI	alice.yandex.ru
AI	alicepro.yandex.ru
DNS	all.dns.mullvad.net
Tracker	all4nothin.net
Adult	allfet.net
Shopping	allkeyshop.com
Tracker	alltorrents.net
Software	almalinux.org
Adult	alotporn.com
Blog	aloys233.top
Torrent	alpharatio.cc
Education	alphaxiv.org
Software	alpinelinux.org
Adult	alt.com
Government	altai.ru
Education	altaiobr04.ru
Education	altmetric.com
Adult	altporn.net
Website	altynachar.com
Media	am730.com.hk
Adult	amabitch.com
Adult	amakings.com
Adult	amanmi.com
Adult	amatporn.com
Adult	amatura.com
