# brand-owned source domain	packaged SVG slug
1001tracklists.com	1001tracklists
tarteaucitron.io	tarteaucitron
tcs.com	tcs
teamspeak.com	teamspeak
teamviewer.com	teamviewer
ted.com	ted
teepublic.design	teepublic
telegram.org	telegram
telenor.no	telenor
tensorflow.org	tensorflow
teratail.com	teratail
tesla.com	tesla
testin.cn	testin
tether.to	tether
theconversation.com	theconversation
theguardian.com	theguardian
theodinproject.com	theodinproject
thingiverse.com	thingiverse
threema.ch	threema
thunderbird.net	thunderbird
tidal.com	tidal
tietoevry.com	tietoevry
tiktok.com	tiktok
tinkercad.com	tinkercad
tinyletter.com	tinyletter
tokio.rs	tokio
ton.org	ton
topcoder.com	topcoder
torproject.org	torproject
totvs.com	totvs
toyota.com	toyota
tradingview.com	tradingview
trae.ai	trae
trailforks.com	trailforks
trainerroad.com	trainerroad
traxsource.com	traxsource
trendmicro.com	trendmicro
truenas.com	truenas
trustedshops.com	trustedshops
tubi.tv	tubi
tumblr.com	tumblr
turbosquid.com	turbosquid
turso.tech	turso
twinmotion.com	twinmotion
twitch.tv	twitch
typeform.com	typeform
uber.com	uber
ubisoft.com	ubisoft
ubuntu.com	ubuntu
udacity.com	udacity
udemy.com	udemy
ufc.com	ufc
ultralytics.com	ultralytics
uml.org	uml
unacademy.com	unacademy
underarmour.com	underarmour
uniqlo.com	uniqlo
unity.com	unity
unrealengine.com	unrealengine
unstop.com	unstop
untappd.com	untappd
upcloud.com	upcloud
uservoice.com	uservoice
v0.dev	v0
v8.dev	v8
vectary.com	vectary
venmo.com	venmo
vercel.com	vercel
verdaccio.org	verdaccio
viber.com	viber
viblo.asia	viblo
vimeo.com	vimeo
virgin.com	virgin
virtualbox.org	virtualbox
virustotal.com	virustotal
visa.com	visa
vivaldi.com	vivaldi
vivino.com	vivino
vivo.com	vivo
vk.com	vk
voidlinux.org	voidlinux
vrchat.com	vrchat
vultr.com	vultr
w3schools.com	w3schools
wappalyzer.com	wappalyzer
wasabi.com	wasabi
wattpad.com	wattpad
waze.com	waze
weasyl.com	weasyl
webrtc.org	webrtc
wechat.design	wechat
wgpu.rs	wgpu
winamp.com	winamp
windsurf.com	windsurf
wipro.com	wipro
wireguard.com	wireguard
wise.design	wise
wish.com	wish
wistia.com	wistia
wix.com	wix
wizzair.com	wizzair
woocommerce.com	woocommerce
wordpress.org	wordpress
wpengine.com	wpengine
wutheringwaves.kurogames.com	wuthering-waves
xero.com	xero
xiaohongshu.com	xiaohongshu
ycombinator.com	ycombinator
youhodler.com	youhodler
youtube.com	youtube
zalo.me	zalo
zara.com	zara
zendesk.com	zendesk
zenless.hoyoverse.com	zenless-zone-zero
zerodha.com	zerodha
zhihu.com	zhihu
zillow.com	zillow
zoho.com	zoho
zomato.com	zomato
zoom.us	zoom
zotero.org	zotero
