# Simple Icons title, verified source domain and display colour
2k	2K	2k.com	DD0700
mautic	Mautic	mautic.org	4E5E9E
mediamarkt	MediaMarkt	mediamarkt.de	DF0000
anycubic	Anycubic	anycubic.com	476695
rescuetime	RescueTime	rescuetime.com	AAB6C2
bitsy	Bitsy	bitsy.org	6767B2
theconversation	The Conversation	theconversation.com	D8352A
ryanair	Ryanair	ryanair.com	AAB6C2
livekit	LiveKit	livekit.io	FFFFFF
kashflow	KashFlow	kashflow.com	E5426E
isc2	ISC2	isc2.org	468145
inkscape	Inkscape	inkscape.org	AAB6C2
materialdesignicons	Material Design Icons	materialdesignicons.com	2196F3
wireguard	WireGuard	wireguard.com	AAB6C2
bigcartel	Big Cartel	bigcartel.com	AAB6C2
netim	Netim	netim.com	FE8427
fareharbor	FareHarbor	fareharbor.com	0A6ECE
jellyfin	Jellyfin	jellyfin.org	00A4DC
trainerroad	TrainerRoad	trainerroad.com	DA291C
mediafire	MediaFire	mediafire.com	1299F3
dovetail	Dovetail	dovetail.com	AAB6C2
frontendmentor	Frontend Mentor	frontendmentor.io	3F54A3
metafilter	MetaFilter	metafilter.com	065A8F
mullvad	Mullvad	mullvad.net	294D73
migadu	Migadu	migadu.com	0043CE
nokia	Nokia	nokia.com	005AFF
cloudfoundry	Cloud Foundry	cloudfoundry.org	0C9ED5
paytm	Paytm	paytm.com	AAB6C2
houzz	Houzz	houzz.com	4DBC15
polygon	Polygon	polygon.technology	7B3FE4
elgato	Elgato	elgato.com	AAB6C2
theodinproject	The Odin Project	theodinproject.com	A9792B
fawry	Fawry	fawry.com	FFD300
farcaster	Farcaster	farcaster.xyz	855DCD
topcoder	Topcoder	topcoder.com	29A7DF
voidlinux	Void Linux	voidlinux.org	478061
soundcharts	Soundcharts	soundcharts.com	AAB6C2
nestjs	NestJS	nestjs.com	E0234E
jdoodle	JDoodle	jdoodle.com	FD5200
startrek	Star Trek	startrek.com	FFE200
verdaccio	Verdaccio	verdaccio.org	4B5E40
databricks	Databricks	databricks.com	FF3621
enterprisedb	EnterpriseDB	enterprisedb.com	FF3E00
csswizardry	CSS Wizardry	csswizardry.com	F43059
pnpm	pnpm	pnpm.io	F69220
poly	Poly	poly.com	EB3C00
lospec	Lospec	lospec.com	EAEAEA
continente	Continente	continente.pt	E31E24
lining	Li-Ning	lining.com	C5242C
podman	Podman	podman.io	892CA0
cloudera	Cloudera	cloudera.com	F96702
localxpose	LocalXpose	localxpose.io	6023C0
mix	Mix	mix.com	FF8126
nzxt	NZXT	nzxt.com	AAB6C2
wpengine	WP Engine	wpengine.com	0ECAD4
hackmd	HackMD	hackmd.io	453AFF
tado	tado°	tado.com	FFA900
linphone	Linphone	linphone.org	FF5E00
mewe	MeWe	mewe.com	AAB6C2
mural	Mural	mural.co	FF4B4B
dpd	DPD	dpd.com	DC0032
freshrss	FreshRSS	freshrss.org	0062BE
siemens	Siemens	siemens.com	009999
tradingview	TradingView	tradingview.com	AAB6C2
arstechnica	Ars Technica	arstechnica.com	FF4E00
kubuntu	Kubuntu	kubuntu.org	0079C1
makerbot	MakerBot	makerbot.com	FF1E0D
adafruit	Adafruit	adafruit.com	AAB6C2
sonos	Sonos	sonos.com	AAB6C2
mapillary	Mapillary	mapillary.com	00AF66
ssrn	SSRN	ssrn.com	AAB6C2
godox	Godox	godox.com	FF6600
modx	MODX	modx.com	AAB6C2
koyeb	Koyeb	koyeb.com	AAB6C2
codenewbie	CodeNewbie	codenewbie.org	9013FE
